sensor_node_ID,campaignTimestamp,timestamp,X,Y,Z
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.135Z""",-0.011299479,0.021026042,0.02865625
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.155Z""",-0.065986979,-0.033661458,0.02865625
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.175Z""",0.027763021,-0.029755208,0.00521875
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.195Z""",0.074638021,0.028838542,0.02084375
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.215Z""",-0.034736979,0.060088542,0.03646875
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.235Z""",-0.011299479,0.021026042,0.18490625
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.255Z""",0.004325521,-0.041473958,0.16928125
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.275Z""",0.017346354,0.010609375,0.03646875
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.295Z""",0.019950521,-0.041473958,0.02084375
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.315Z""",-0.042549479,0.021026042,0.06771875
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.335Z""",-0.019111979,0.013213542,-0.00259375
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.355Z""",0.035575521,-0.103973958,0.02865625
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.375Z""",-0.042549479,0.044463542,0.09115625
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.395Z""",0.074638021,0.161651042,0.07553125
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.415Z""",0.043388021,0.044463542,-0.05728125
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.435Z""",0.066825521,0.021026042,-0.04946875
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.455Z""",0.004325521,-0.041473958,-0.01040625
4,"""2021-06-15T09:43:58.000Z""","""2021-06-15T09:43:58.475Z""",0.004325521,0.044463542,0.08334375
